team,score,shots,yellow_cards,red_cards
Hull,2,5,2,0
Crystal Palace,0,4,2,0
Everton,1,6,0,0
Middlesbrough,1,2,3,0
Burnley,0,3,3,0
Southampton,1,6,1,0
Man City,2,4,1,0
Bournemouth,1,3,0,0
Arsenal,3,5,3,0
Chelsea,2,6,5,0
Man United,2,5,0,0
Stoke,1,3,3,0
Swansea,0,3,0,0
Burnley,2,2,0,0
Tottenham,1,5,3,0
Watford,1,2,4,0
West Brom,1,4,3,0
Leicester,0,1,1,0
Sunderland,1,5,1,0
West Ham,1,2,3,0
Tottenham,1,4,3,0
Southampton,1,7,2,0
Chelsea,3,10,2,0
Crystal Palace,1,5,3,0
Watford,1,6,6,0
Everton,1,9,2,0
Leicester,2,6,2,0
Hull,0,2,2,0
West Brom,0,2,1,0
Man City,3,5,1,0
Man United,1,3,4,0
Middlesbrough,1,4,1,0
Stoke,0,2,3,0
Bournemouth,1,5,1,0
Burnley,1,2,2,0
Arsenal,2,2,2,0
West Ham,2,4,2,0
Liverpool,4,11,1,0
Swansea,2,2,3,0
Sunderland,0,2,1,0
Chelsea,1,4,1,0
West Brom,4,6,2,0
Hull,1,2,0,1
Leicester,3,6,0,0
Man City,4,12,1,1
Everton,3,6,2,0
Watford,3,5,3,0
Crystal Palace,4,8,2,0
Southampton,1,6,1,0
Tottenham,1,9,1,0
Man United,4,7,0,0
Middlesbrough,1,2,2,0
Stoke,1,2,3,0
Sunderland,2,4,0,0
Bournemouth,1,1,2,0
Swansea,1,5,2,0
Liverpool,5,12,1,0
Arsenal,3,5,0,0
West Ham,0,1,5,0
Burnley,2,4,1,0
Everton,1,3,5,0
Watford,2,7,3,0
Hull,0,3,2,0
West Ham,1,2,2,0
Sunderland,1,2,1,0
Swansea,1,3,2,0
Tottenham,2,7,2,0
Leicester,0,1,1,0
Man United,1,9,3,0
Burnley,0,1,0,0
Crystal Palace,0,3,1,0
Man City,1,8,0,0
Arsenal,3,6,0,1
Bournemouth,6,10,0,0
Stoke,2,6,1,0
Chelsea,3,6,1,0
West Brom,1,4,2,0
Middlesbrough,0,3,4,0
Southampton,3,14,1,0
Liverpool,0,3,0,0
Liverpool,2,7,1,0
Arsenal,0,5,1,0
Bournemouth,0,1,2,0
Swansea,0,5,2,0
Burnley,2,3,2,0
West Ham,1,3,2,0
Hull,0,2,2,0
Leicester,3,4,0,0
Man City,1,3,3,0
Chelsea,4,6,3,0
Man United,0,11,3,2
West Brom,0,1,4,0
Middlesbrough,2,3,2,0
Sunderland,1,1,4,0
