player,team,role,goals,assists,penalties saved,saves,clean sheets,yellow cards,red cards,penalties missed,own goals,goals conceded,minutes,score,rating
Gabriel Fernando de Jesus,Man City,Forward,3,1,0,0,1,1,0,0,0,1,203,9.0,3.99
Michy Batshuayi,Chelsea,Forward,1,1,0,0,0,0,0,0,0,0,127,4.0,2.83
Sergio Romero,Man Utd,Goalkeeper,0,0,0,4,1,0,0,0,0,0,90,2.5,2.5
Harry Kane,Spurs,Forward,20,5,0,0,12,1,0,1,0,15,1995,52.5,2.37
Olivier Giroud,Arsenal,Forward,9,4,0,0,3,1,0,0,0,13,925,19.0,1.85
Heung-Min Son,Spurs,Midfielder,12,7,0,0,9,2,0,0,0,14,1612,32.5,1.81
Bamidele Alli,Spurs,Midfielder,16,9,0,0,15,4,0,0,0,18,2514,44.5,1.59
Charlie Austin,Southampton,Forward,6,1,0,0,6,1,0,0,0,7,866,14.5,1.51
Romelu Lukaku,Everton,Forward,24,6,0,0,11,3,0,0,0,35,2816,47.0,1.5
Manolo Gabbiadini,Southampton,Forward,4,0,0,0,1,1,0,0,0,7,336,5.0,1.34
Zlatan Ibrahimovic,Man Utd,Forward,17,7,0,0,11,7,0,1,0,22,2438,35.0,1.29
Kelechi Iheanacho,Man City,Forward,4,3,0,0,1,0,0,0,0,9,510,6.5,1.15
Diego Da Silva Costa,Chelsea,Forward,17,9,0,0,11,8,0,1,0,27,2662,31.5,1.06
Eden Hazard,Chelsea,Midfielder,14,8,0,0,14,2,0,1,0,24,2507,29.0,1.04
Sergio Agüero,Man City,Forward,17,2,0,0,6,3,1,1,0,27,2051,23.5,1.03
Tom Heaton,Burnley,Goalkeeper,0,0,1,126,9,1,0,0,0,40,2700,30.0,1.0
Bradley Guzan,Middlesbrough,Goalkeeper,0,0,0,12,2,0,0,0,0,3,360,4.0,1.0
Alexis Sánchez,Arsenal,Midfielder,19,10,0,0,9,5,0,1,0,37,2624,29.0,0.99
Kieran Trippier,Spurs,Defender,0,3,0,0,2,0,0,0,0,1,297,3.0,0.91
Henrikh Mkhitaryan,Man Utd,Midfielder,4,1,0,0,8,1,0,0,0,6,1061,10.5,0.89
Sadio Mané,Liverpool,Midfielder,13,7,0,0,8,4,0,0,0,26,2242,22.0,0.88
Pedro Rodríguez Ledesma,Chelsea,Midfielder,7,8,0,0,12,6,0,0,0,14,1863,18.0,0.87
Lucas Pérez,Arsenal,Forward,1,1,0,0,1,0,0,0,0,2,272,2.5,0.83
Manuel Agudo Durán,Man City,Midfielder,4,3,0,0,3,3,1,0,0,7,776,7.0,0.81
Christian Eriksen,Spurs,Midfielder,7,16,0,0,14,0,0,0,0,21,2709,23.0,0.76
Jordan Pickford,Sunderland,Goalkeeper,0,0,0,109,3,0,0,0,0,39,2070,17.0,0.74
Anthony Martial,Man Utd,Midfielder,3,4,0,0,6,1,0,0,0,8,991,7.5,0.68
Islam Slimani,Leicester,Forward,7,3,0,0,5,1,0,0,0,18,1100,8.0,0.65
Divock Origi,Liverpool,Forward,6,4,0,0,4,0,0,0,0,16,1129,8.0,0.64
Hugo Lloris,Spurs,Goalkeeper,0,0,0,61,13,0,0,0,0,20,2464,17.0,0.62
Joel Robles,Everton,Goalkeeper,0,1,0,46,9,2,0,0,0,17,1557,10.5,0.61
Cesc Fàbregas,Chelsea,Midfielder,4,9,0,0,2,7,0,0,0,12,973,6.5,0.6
Juan Mata,Man Utd,Midfielder,6,3,0,0,9,3,0,0,1,12,1385,9.0,0.58
Santiago Cazorla,Arsenal,Midfielder,2,2,0,0,4,2,0,0,0,5,618,4.0,0.58
Nathaniel Chalobah,Chelsea,Midfielder,0,1,0,0,0,1,0,0,0,0,79,0.5,0.57
Ademola Lookman,Everton,Midfielder,1,0,0,0,1,0,0,0,0,2,244,1.5,0.55
Lee Grant,Stoke,Goalkeeper,0,0,0,91,9,1,0,0,0,34,2520,15.5,0.55
Leroy Sané,Man City,Midfielder,5,3,0,0,6,2,0,0,0,12,1336,8.0,0.54
Michel Vorm,Spurs,Goalkeeper,0,0,0,7,2,0,0,0,0,2,416,2.5,0.54
Philippe Coutinho,Liverpool,Midfielder,9,7,0,0,5,2,0,0,0,25,1858,10.5,0.51
Willian Borges Da Silva,Chelsea,Midfielder,6,2,0,0,6,3,0,0,0,14,1312,7.5,0.51
Enner Valencia,Everton,Forward,3,3,0,0,2,0,0,0,0,9,703,4.0,0.51
Willy Caballero,Man City,Goalkeeper,0,0,1,19,4,0,0,0,0,9,990,5.5,0.5
Daniel Sturridge,Liverpool,Forward,2,4,0,0,1,1,0,0,0,7,579,3.0,0.47
Ilkay Gündogan,Man City,Midfielder,3,1,0,0,3,0,0,0,0,8,704,3.5,0.45
Eldin Jakupovic,Hull,Goalkeeper,0,0,1,66,3,0,0,0,0,30,1620,7.5,0.42
Theo Walcott,Arsenal,Midfielder,10,3,0,0,7,1,0,1,0,26,1819,7.0,0.35
Petr Cech,Arsenal,Goalkeeper,0,0,0,85,8,2,0,0,1,33,2467,9.5,0.35
David de Gea,Man Utd,Goalkeeper,0,0,0,59,12,2,0,0,0,24,2700,10.5,0.35
Kasper Schmeichel,Leicester,Goalkeeper,0,0,0,85,6,1,0,0,0,37,2126,8.0,0.34
Thibaut Courtois,Chelsea,Goalkeeper,0,0,0,59,13,1,0,0,0,25,2790,10.5,0.34
Marcos Alonso,Chelsea,Defender,5,4,0,0,12,2,0,0,0,16,2243,8.0,0.32
Ben Foster,West Brom,Goalkeeper,0,0,0,101,6,2,0,0,0,42,2970,10.5,0.32
Raheem Sterling,Man City,Midfielder,6,14,0,0,7,6,0,0,0,25,2216,7.5,0.3
Jay Rodriguez,Southampton,Midfielder,4,1,0,0,3,0,0,0,0,12,754,2.5,0.3
Mesut Özil,Arsenal,Midfielder,7,8,0,0,8,0,0,0,0,26,2221,7.0,0.28
Marcus Rashford,Man Utd,Forward,5,2,0,0,6,3,0,0,0,14,1449,4.5,0.28
Vincent Janssen,Spurs,Forward,2,3,0,0,3,0,0,0,0,8,802,2.5,0.28
Vito Mannone,Sunderland,Goalkeeper,0,0,0,41,2,0,0,0,0,19,810,2.5,0.28
Roberto Firmino,Liverpool,Midfielder,11,10,0,0,8,5,0,0,0,37,2714,7.5,0.25
Xherdan Shaqiri,Stoke,Midfielder,4,2,0,0,6,1,0,0,0,13,1249,3.5,0.25
Joshua Sims,Southampton,Midfielder,0,1,0,0,1,0,0,0,0,1,178,0.5,0.25
Víctor Valdés,Middlesbrough,Goalkeeper,0,0,0,79,8,1,0,0,0,36,2520,7.0,0.25
Shaun Maloney,Hull,Midfielder,1,2,0,0,1,0,0,0,0,5,238,0.5,0.19
Kevin Mirallas,Everton,Midfielder,4,8,0,0,9,2,0,0,0,20,1719,3.5,0.18
Victor Moses,Chelsea,Midfielder,3,3,0,0,14,4,0,0,0,13,2045,4.0,0.18
Wayne Hennessey,Crystal Palace,Goalkeeper,0,0,0,72,6,1,0,0,0,35,2070,3.5,0.15
Simon Mignolet,Liverpool,Goalkeeper,0,0,2,43,5,0,0,0,0,28,2070,2.0,0.09
Erik Lamela,Spurs,Midfielder,1,1,0,0,4,1,0,1,0,2,595,0.5,0.08
Maarten Stekelenburg,Everton,Goalkeeper,0,0,2,35,3,2,0,0,1,20,1413,1.0,0.06
Heurelho Gomes,Watford,Goalkeeper,0,0,1,93,7,1,0,0,1,48,2797,1.5,0.05
Andre Gray,Burnley,Forward,8,2,0,0,8,2,0,0,0,28,2024,1.0,0.04
Artur Boruc,Bournemouth,Goalkeeper,0,0,2,104,7,2,0,0,0,60,2790,0.5,0.02
Peter Crouch,Stoke,Forward,5,3,0,0,3,1,0,0,0,19,1111,0.0,0.0
James Morrison,West Brom,Midfielder,5,2,0,0,4,2,0,0,0,18,1517,0.0,0.0
Fraizer Campbell,Crystal Palace,Forward,1,0,0,0,0,0,0,0,0,3,120,0.0,0.0
Jonathan Calleri,West Ham,Forward,1,0,0,0,0,0,0,0,0,3,258,0.0,0.0
Moussa Sissoko,Spurs,Midfielder,0,3,0,0,4,2,0,0,0,4,756,0.0,0.0
Damian Emiliano Martinez,Arsenal,Goalkeeper,0,0,0,5,1,0,0,0,0,3,180,0.0,0.0
Per Mertesacker,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Mathieu Debuchy,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0
Serge Gnabry,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Joel Campbell,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Yaya Sanogo,Arsenal,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Takuma Asano,Arsenal,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Eunan O'Kane,Bournemouth,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Shaun MacDonald,Bournemouth,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Emerson Hyndman,Bournemouth,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tokelo Rantie,Bournemouth,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Tendayi Darikwa,Burnley,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Fredrik Ulvestad,Burnley,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Lukas Jutkiewicz,Burnley,Forward,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0
Rouwen Hennings,Burnley,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Chris Long,Burnley,Forward,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Abdul Rahman Baba,Chelsea,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Matt Miazga,Chelsea,Defender,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Juan Cuadrado,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Ruben Loftus-Cheek,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,35,0.0,0.0
John Obi Mikel,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Bertrand Traore,Chelsea,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
